FINANCIAL_YEAR,COMPANY,BTERMSTEMPLATES,BILL_NO.,BILL_DATE,MONTH,YEAR,SRLNO,accd,CONTROL_ACCOUNT,CUSTOMER,COUNTRY,STATE,CITY,CONSIGNEE,itemcd,ITEM,QUANTITY,RATE,VALUE,LOCATIONNAME,personcd,SALESMAN,MAIN_GROUP,SUB_GROUP,ITEM_GROUP,locationcode
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,EXEMPT SALE - SEZ (GST NIL),AET/02891/20-21,29-Aug-20,August,2020,2,12920,SUNDRY DEBTORS - DOMESTIC,KNITPRO INTERNATIONAL,INDIA,RAJASTHAN,JAIPUR,KNITPRO INTERNATIONAL,3040,ALUMAX BUFFER DS : 30 LTR CARBOYS,60,56,3360,ARTEK EXPORTS - TARAPUR,335,DELHI - AREA ,FINISHED GOODS,ANODISING,ANODIZING OTHERS,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,EXEMPT SALE - SEZ (GST NIL),AET/03242/20-21,8-Sep-20,September,2020,2,12920,SUNDRY DEBTORS - DOMESTIC,KNITPRO INTERNATIONAL,INDIA,RAJASTHAN,JAIPUR,KNITPRO INTERNATIONAL,38798,ALUDINE ORANGE 3 LW : 1 KGS BOTTLE,5,1915,9575,ARTEK EXPORTS - TARAPUR,335,DELHI - AREA ,FINISHED GOODS,ANODISING,ANODIZING DYES,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,EXEMPT SALE - SEZ (GST NIL),AET/00171/20-21,26-May-20,May,2020,3,12920,SUNDRY DEBTORS - DOMESTIC,KNITPRO INTERNATIONAL,INDIA,RAJASTHAN,JAIPUR,KNITPRO INTERNATIONAL,5004,SURFOLIN AL 26 : 30 KGS BAG,30,139,4170,ARTEK EXPORTS - TARAPUR,335,DELHI - AREA ,FINISHED GOODS,CLEANERS,CLEANERS OTHERS,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,EXEMPT SALE - SEZ (GST NIL),AET/00171/20-21,26-May-20,May,2020,4,12920,SUNDRY DEBTORS - DOMESTIC,KNITPRO INTERNATIONAL,INDIA,RAJASTHAN,JAIPUR,KNITPRO INTERNATIONAL,4562,DECOBRITE CA SALT : 50 KGS DRUM,250,303,75750,ARTEK EXPORTS - TARAPUR,335,DELHI - AREA ,FINISHED GOODS,CHROME PLATING,CHROME SALTS,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,EXEMPT SALE - SEZ (GST NIL),AET/00523/20-21,13-Jun-20,June,2020,2,18848,SUNDRY DEBTORS - DOMESTIC,UNIPARTS INDIA LIMITED (V.CODE SUP004239),INDIA,ANDHRA PRADESH,VISAKHAPATNAM,UNIPARTS INDIA LIMITED (V.CODE SUP004239),26506,SURFOLIN EL 80 MS U : 30 KGS BAG,300,80,24000,ARTEK EXPORTS - TARAPUR,335,DELHI - AREA ,FINISHED GOODS,CLEANERS,CLEANERS ELECTROLYTIC,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,EXEMPT SALE - SEZ (GST NIL),AET/00523/20-21,13-Jun-20,June,2020,4,18848,SUNDRY DEBTORS - DOMESTIC,UNIPARTS INDIA LIMITED (V.CODE SUP004239),INDIA,ANDHRA PRADESH,VISAKHAPATNAM,UNIPARTS INDIA LIMITED (V.CODE SUP004239),16830,MILLENIUM NCZ 511 A U : 30 LTR CARBOYS,120,221.4,26568,ARTEK EXPORTS - TARAPUR,335,DELHI - AREA ,FINISHED GOODS,NON CYNIDE ALKALINE ZINC,NCZ ADDITIVES,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,EXEMPT SALE - SEZ (GST NIL),AET/00524/20-21,13-Jun-20,June,2020,1,18848,SUNDRY DEBTORS - DOMESTIC,UNIPARTS INDIA LIMITED (V.CODE SUP004239),INDIA,ANDHRA PRADESH,VISAKHAPATNAM,UNIPARTS INDIA LIMITED (V.CODE SUP004239),4383,TEKNOBRITE AZ 3178 M   U : 30 LTR CARBOYS,20,114.5,2290,ARTEK EXPORTS - TARAPUR,335,DELHI - AREA ,FINISHED GOODS,CHLORIDE ZINC PLATING,AZ ADDITIVE M,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,EXEMPT SALE - SEZ (GST NIL),AET/00524/20-21,13-Jun-20,June,2020,4,18848,SUNDRY DEBTORS - DOMESTIC,UNIPARTS INDIA LIMITED (V.CODE SUP004239),INDIA,ANDHRA PRADESH,VISAKHAPATNAM,UNIPARTS INDIA LIMITED (V.CODE SUP004239),39873,KEMPAS TRH 1250 U : 30 LTR CARBOYS,360,542,195120,ARTEK EXPORTS - TARAPUR,335,DELHI - AREA ,FINISHED GOODS,PASSIVATION,PASSIVATION TRIVALENT,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,EXEMPT SALE - SEZ (GST NIL),AET/00695/20-21,20-Jun-20,June,2020,2,18917,SUNDRY DEBTORS - DOMESTIC,GRIPWELL FASTNERS PVT. LTD. (V.CODE SUP004239),INDIA,UTTAR PRADESH,NOIDA,GRIPWELL FASTNERS PVT. LTD. (V.CODE SUP004239),26506,SURFOLIN EL 80 MS U : 30 KGS BAG,300,80,24000,ARTEK EXPORTS - TARAPUR,335,DELHI - AREA ,FINISHED GOODS,CLEANERS,CLEANERS ELECTROLYTIC,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,EXEMPT SALE - SEZ (GST NIL),AET/00524/20-21,13-Jun-20,June,2020,2,18848,SUNDRY DEBTORS - DOMESTIC,UNIPARTS INDIA LIMITED (V.CODE SUP004239),INDIA,ANDHRA PRADESH,VISAKHAPATNAM,UNIPARTS INDIA LIMITED (V.CODE SUP004239),4386,TEKNOBRITE AZ 3178 R   U : 30 LTR CARBOYS,60,104.3,6258,ARTEK EXPORTS - TARAPUR,335,DELHI - AREA ,FINISHED GOODS,CHLORIDE ZINC PLATING,AZ BRIGHTNERS R,39
