FINANCIAL_YEAR,COMPANY,BTERMSTEMPLATES,BILL_NO.,BILL_DATE,MONTH,YEAR,SRLNO,accd,CONTROL_ACCOUNT,CUSTOMER,COUNTRY,STATE,CITY,CONSIGNEE,itemcd,ITEM,QUANTITY,RATE,VALUE,LOCATIONNAME,personcd,SALESMAN,MAIN_GROUP,SUB_GROUP,ITEM_GROUP,locationcode
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00587/20-21,15-Jun-20,June,2020,1,4556,SUNDRY DEBTORS - DOMESTIC,AJANTA CHEMICALS & MINERALS,INDIA,UTTAR PRADESH,KANPUR,AJANTA CHEMICALS & MINERALS,20764,MILLENIUM NCZ 1121 B : 30 LTR CARBOYS,300,95,28500,ARTEK EXPORTS - TARAPUR,335,DELHI - AREA ,FINISHED GOODS,NON CYNIDE ALKALINE ZINC,NCZ ADDITIVES,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00587/20-21,15-Jun-20,June,2020,4,4556,SUNDRY DEBTORS - DOMESTIC,AJANTA CHEMICALS & MINERALS,INDIA,UTTAR PRADESH,KANPUR,AJANTA CHEMICALS & MINERALS,37393,TEKNOBRITE AZ 2942 M : 30 LTR CARBOYS,90,142,12780,ARTEK EXPORTS - TARAPUR,335,DELHI - AREA ,FINISHED GOODS,CHLORIDE ZINC PLATING,AZ ADDITIVE M,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00589/20-21,15-Jun-20,June,2020,1,22002,SUNDRY DEBTORS - DOMESTIC,"KISHAN CHEMICALS,",INDIA,TAMILNADU,CHENNAI,"KISHAN CHEMICALS,",9007,MILLENIUM NCZ 401 A : 5 LTR BOTTLE,30,184,5520,ARTEK EXPORTS - TARAPUR,1525,CHENNAI ,FINISHED GOODS,NON CYNIDE ALKALINE ZINC,NCZ ADDITIVES,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00592/20-21,15-Jun-20,June,2020,1,22553,SUNDRY DEBTORS - DOMESTIC,BHAKTI METACHEM,INDIA,KARNATAKA,BELAGAAVI,BHAKTI METACHEM,4065,TEKNOBRITE AZ 1085 R : 30 LTR CARBOYS,30,174,5220,ARTEK EXPORTS - TARAPUR,330,PUNE ,FINISHED GOODS,CHLORIDE ZINC PLATING,AZ BRIGHTNERS R,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00592/20-21,15-Jun-20,June,2020,3,22553,SUNDRY DEBTORS - DOMESTIC,BHAKTI METACHEM,INDIA,KARNATAKA,BELAGAAVI,BHAKTI METACHEM,21521,KEMPAS TR 385 B : 30 LTR CARBOYS,30,562,16860,ARTEK EXPORTS - TARAPUR,330,PUNE ,FINISHED GOODS,PASSIVATION,PASSIVATION TRIVALENT,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00592/20-21,15-Jun-20,June,2020,4,22553,SUNDRY DEBTORS - DOMESTIC,BHAKTI METACHEM,INDIA,KARNATAKA,BELAGAAVI,BHAKTI METACHEM,42262,MILLENIUM HS 1821 C : 5 LTR BOTTLE,30,125,3750,ARTEK EXPORTS - TARAPUR,330,PUNE ,FINISHED GOODS,NON CYNIDE ALKALINE ZINC,NCZ ADDITIVES,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00593/20-21,15-Jun-20,June,2020,4,22553,SUNDRY DEBTORS - DOMESTIC,BHAKTI METACHEM,INDIA,KARNATAKA,BELAGAAVI,BHAKTI METACHEM,38440,ALCHROME LM 101 M (K) : 35 KGS CARBOYS,70,93,6510,ARTEK EXPORTS - TARAPUR,330,PUNE ,FINISHED GOODS,ANODISING,ANODIZING OTHERS,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00640/20-21,17-Jun-20,June,2020,2,21494,SUNDRY DEBTORS - DOMESTIC,VINOD CHEMICALS (N),INDIA,KARNATAKA,BANGALORE RURAL,VINOD CHEMICALS (N),35220,SURFOLIN SK 200 PLUS : 30 KGS BAG,300,78.54,23562,ARTEK EXPORTS - TARAPUR,1762,MUMBAI-NEHA B ,FINISHED GOODS,CLEANERS,CLEANERS SOAK,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00643/20-21,17-Jun-20,June,2020,4,5212,SUNDRY DEBTORS - DOMESTIC,R.M. ENTERPRISES,INDIA,MAHARASHTRA,PUNE,R.M. ENTERPRISES,20344,MILLENIUM NCZ 1121 A : 30 LTR CARBOYS,30,136.08,4082.4,ARTEK EXPORTS - TARAPUR,330,PUNE ,FINISHED GOODS,NON CYNIDE ALKALINE ZINC,NCZ ADDITIVES,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00643/20-21,17-Jun-20,June,2020,5,5212,SUNDRY DEBTORS - DOMESTIC,R.M. ENTERPRISES,INDIA,MAHARASHTRA,PUNE,R.M. ENTERPRISES,9557,KEMPAS BL 15 : 5 KGS BOTTLE,30,165.24,4957.2,ARTEK EXPORTS - TARAPUR,330,PUNE ,FINISHED GOODS,PASSIVATION,PASSIVATION HEXAVALENT,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00645/20-21,17-Jun-20,June,2020,4,20620,SUNDRY DEBTORS - DOMESTIC,KRUSHNA TRADING CORPORATION,INDIA,MAHARASHTRA,PUNE,KRUSHNA TRADING CORPORATION,3885,TEKNOBRITE AZ 1050 M : 5 LTR BOTTLE,30,114.73,3441.9,ARTEK EXPORTS - TARAPUR,330,PUNE ,FINISHED GOODS,CHLORIDE ZINC PLATING,AZ ADDITIVE M,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00647/20-21,17-Jun-20,June,2020,1,15392,SUNDRY DEBTORS - DOMESTIC,INDUSTRIAL TRADING CO. (BHOSARI),INDIA,MAHARASHTRA,PUNE,INDUSTRIAL TRADING CO. (BHOSARI),27520,ALUMAX ALCAST ATR : 5 KGS BOTTLE,20,184,3680,ARTEK EXPORTS - TARAPUR,331,PUNE - ITC ,FINISHED GOODS,ANODISING,ANODIZING OTHERS,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00647/20-21,17-Jun-20,June,2020,5,15392,SUNDRY DEBTORS - DOMESTIC,INDUSTRIAL TRADING CO. (BHOSARI),INDIA,MAHARASHTRA,PUNE,INDUSTRIAL TRADING CO. (BHOSARI),5140,SURFOLIN NC 924 : 50 KGS BAG,100,75,7500,ARTEK EXPORTS - TARAPUR,331,PUNE - ITC ,FINISHED GOODS,CLEANERS,CLEANERS OTHERS,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00649/20-21,17-Jun-20,June,2020,4,18778,SUNDRY DEBTORS - DOMESTIC,VIR SALES,INDIA,MAHARASHTRA,NAGPUR,VIR SALES,16943,ALUDINE GOLD 4 G : 1 KGS BOTTLE,1,904.55,904.55,ARTEK EXPORTS - TARAPUR,1279,RAIPUR ,FINISHED GOODS,ANODISING,ANODIZING DYES,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00652/20-21,17-Jun-20,June,2020,1,22411,SUNDRY DEBTORS - DOMESTIC,GANGOTRI METAL & ALLOYS (INDIA) PRIVATE LIMITED,INDIA,CHHATTISGARH,RAIPUR,GANGOTRI METAL & ALLOYS (INDIA) PRIVATE LIMITED,3057,ALUMAX EC STABILIZER : 30 LTR CARBOYS,90,141.1,12699,ARTEK EXPORTS - TARAPUR,1279,RAIPUR ,FINISHED GOODS,ANODISING,ANODIZING OTHERS,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00593/20-21,15-Jun-20,June,2020,5,22553,SUNDRY DEBTORS - DOMESTIC,BHAKTI METACHEM,INDIA,KARNATAKA,BELAGAAVI,BHAKTI METACHEM,51484,KEMPAS BL 2002 : 30 LTR CARBOYS,60,210,12600,ARTEK EXPORTS - TARAPUR,330,PUNE ,FINISHED GOODS,PASSIVATION,PASSIVATION TRIVALENT,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00594/20-21,15-Jun-20,June,2020,1,19135,SUNDRY DEBTORS - DOMESTIC,METAL AND ART INDUSTRIES,INDIA,KARNATAKA,BELGAUM,METAL AND ART INDUSTRIES,2806,ALUMAX COLOURING SALT : 5 KGS BOTTLE,20,1450,29000,ARTEK EXPORTS - TARAPUR,1693,DIRECT-AND ,FINISHED GOODS,ANODISING,ANODIZING SALTS,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00597/20-21,15-Jun-20,June,2020,1,22002,SUNDRY DEBTORS - DOMESTIC,"KISHAN CHEMICALS,",INDIA,TAMILNADU,CHENNAI,"KISHAN CHEMICALS,",26471,TEKNOBRITE AZ 5165 R : 30 LTR CARBOYS,30,125,3750,ARTEK EXPORTS - TARAPUR,1525,CHENNAI ,FINISHED GOODS,CHLORIDE ZINC PLATING,AZ BRIGHTNERS R,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00598/20-21,15-Jun-20,June,2020,4,5104,SUNDRY DEBTORS - DOMESTIC,NEHA SALES CORPORATION,INDIA,MAHARASHTRA,MUMBAI,NEHA SALES CORPORATION,3040,ALUMAX BUFFER DS : 30 LTR CARBOYS,30,56,1680,ARTEK EXPORTS - TARAPUR,324,MUMBAI - NEHA ,FINISHED GOODS,ANODISING,ANODIZING OTHERS,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00599/20-21,15-Jun-20,June,2020,1,5104,SUNDRY DEBTORS - DOMESTIC,NEHA SALES CORPORATION,INDIA,MAHARASHTRA,MUMBAI,NEHA SALES CORPORATION,2806,ALUMAX COLOURING SALT : 5 KGS BOTTLE,150,1368,205200,ARTEK EXPORTS - TARAPUR,324,MUMBAI - NEHA ,FINISHED GOODS,ANODISING,ANODIZING SALTS,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00602/20-21,16-Jun-20,June,2020,4,4900,SUNDRY DEBTORS - DOMESTIC,JIWAN GLUE INDUSTRIES,INDIA,PUNJAB,JALANDHAR,JIWAN GLUE INDUSTRIES,4409,TEKNOBRITE AZ 585 R : 5 LTR BOTTLE,90,129.16,11624.4,ARTEK EXPORTS - TARAPUR,318,LUDHIANA ,FINISHED GOODS,CHLORIDE ZINC PLATING,AZ BRIGHTNERS R,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00604/20-21,16-Jun-20,June,2020,4,4902,SUNDRY DEBTORS - DOMESTIC,JIWAN SONS,INDIA,PUNJAB,LUDHIANA,JIWAN SONS,14661,KEMPAS OLIVE COMPOSITE 865 : 5 LTR BOTTLE,120,172.7,20724,ARTEK EXPORTS - TARAPUR,318,LUDHIANA ,FINISHED GOODS,PASSIVATION,PASSIVATION HEXAVALENT,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00653/20-21,17-Jun-20,June,2020,3,21185,SUNDRY DEBTORS - DOMESTIC,AKSHAY ENTERPRISES,INDIA,MAHARASHTRA,THANE,AKSHAY ENTERPRISES (BHIWANDI),4243,TEKNOBRITE AZ 2048 R : 30 LTR CARBOYS,30,105,3150,ARTEK EXPORTS - TARAPUR,319,MUMBAI - AKSHAY ,FINISHED GOODS,CHLORIDE ZINC PLATING,AZ BRIGHTNERS R,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00654/20-21,17-Jun-20,June,2020,2,21185,SUNDRY DEBTORS - DOMESTIC,AKSHAY ENTERPRISES,INDIA,MAHARASHTRA,THANE,AKSHAY ENTERPRISES (BHIWANDI),18156,KEMPAS TR 350 : 30 LTR CARBOYS,30,314,9420,ARTEK EXPORTS - TARAPUR,319,MUMBAI - AKSHAY ,FINISHED GOODS,PASSIVATION,PASSIVATION TRIVALENT,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00654/20-21,17-Jun-20,June,2020,3,21185,SUNDRY DEBTORS - DOMESTIC,AKSHAY ENTERPRISES,INDIA,MAHARASHTRA,THANE,AKSHAY ENTERPRISES (BHIWANDI),4974,SURFOLIN 381 : 50 KGS BAG,100,135,13500,ARTEK EXPORTS - TARAPUR,319,MUMBAI - AKSHAY ,FINISHED GOODS,CLEANERS,CLEANERS OTHERS,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00658/20-21,18-Jun-20,June,2020,1,4902,SUNDRY DEBTORS - DOMESTIC,JIWAN SONS,INDIA,PUNJAB,LUDHIANA,JIWAN SONS,4408,TEKNOBRITE AZ 585 R : 30 LTR CARBOYS,600,124.61,74766,ARTEK EXPORTS - TARAPUR,318,LUDHIANA ,FINISHED GOODS,CHLORIDE ZINC PLATING,AZ BRIGHTNERS R,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00663/20-21,18-Jun-20,June,2020,1,4751,SUNDRY DEBTORS - DOMESTIC,EMTECH ENTERPRISES,INDIA,PUNJAB,CHANDIGARH [PUNJAB],EMTECH ENTERPRISES,45200,TEKNOBRITE AZ 1085 R (..) : 30 LTRS CARBOY,600,148.5,89100,ARTEK EXPORTS - TARAPUR,712,DELHI - EMTECH ,FINISHED GOODS,CHLORIDE ZINC PLATING,AZ BRIGHTNERS R,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00669/20-21,18-Jun-20,June,2020,3,4739,SUNDRY DEBTORS - DOMESTIC,ELECTRO CHEM AGENCIES,INDIA,UTTAR PRADESH,AGRA,ELECTRO CHEM AGENCIES,35452,SURFOLIN SK 40 MS : 30 KGS BAG,300,62.14,18642,ARTEK EXPORTS - TARAPUR,301,DELHI - ELECTRO ,FINISHED GOODS,CLEANERS,CLEANERS SOAK,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00671/20-21,18-Jun-20,June,2020,5,17061,SUNDRY DEBTORS - DOMESTIC,GALAXY CORPORATION (G.S.),INDIA,GUJARAT,SURAT,GALAXY CORPORATION (G.S.),4696,SUPERSTAR MAINTENANCE SALT : 50 KGS DRUM,100,300,30000,ARTEK EXPORTS - TARAPUR,311,GUJRAT - SHIVJEE ,FINISHED GOODS,CHROME PLATING,CHROME SALTS,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00671/20-21,18-Jun-20,June,2020,6,17061,SUNDRY DEBTORS - DOMESTIC,GALAXY CORPORATION (G.S.),INDIA,GUJARAT,SURAT,GALAXY CORPORATION (G.S.),14539,KEMPAS IR 852 : 30 LTR CARBOYS,30,202.8,6084,ARTEK EXPORTS - TARAPUR,311,GUJRAT - SHIVJEE ,FINISHED GOODS,PASSIVATION,PASSIVATION HEXAVALENT,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00399/20-21,7-Jun-20,June,2020,4,17010,SUNDRY DEBTORS - DOMESTIC,S. S. ENTERPRISES (KN),INDIA,KARNATAKA,BANGALORE URBAN,S. S. ENTERPRISES (KN),3034,ALUMAX ANTIPRECIPITATION AGENT : 5 LTR BOTTLE,10,176,1760,ARTEK EXPORTS - TARAPUR,298,BANGLORE - K.N. ,FINISHED GOODS,ANODISING,ANODIZING OTHERS,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00406/20-21,7-Jun-20,June,2020,1,18908,SUNDRY DEBTORS - DOMESTIC,RAMDOOT INDUSTRIES (Q.A.),INDIA,MADHYA PRADESH,GWALIOR,RAMDOOT INDUSTRIES (Q.A.),21927,MILLENIUM NCZ 1121 DUCTILIZER : 30 LTR CARBOYS,30,151,4530,ARTEK EXPORTS - TARAPUR,1528,MP-MANISH ,FINISHED GOODS,NON CYNIDE ALKALINE ZINC,NCZ ADDITIVES,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00410/20-21,8-Jun-20,June,2020,2,15576,SUNDRY DEBTORS - DOMESTIC,AMEE PRODUCTS UNIT - II,INDIA,GUJARAT,AHMEDABAD,AMEE PRODUCTS UNIT - II,24666,MILLENIUM NCZ 1321 BK : 30 LTR CARBOYS,30,96,2880,ARTEK EXPORTS - TARAPUR,311,GUJRAT - SHIVJEE ,FINISHED GOODS,NON CYNIDE ALKALINE ZINC,NCZ ADDITIVES,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00412/20-21,8-Jun-20,June,2020,1,11534,SUNDRY DEBTORS - DOMESTIC,SAI ELECTROCHEM,INDIA,GUJARAT,AHMEDABAD,SAI ELECTROCHEM,9246,MILLENIUM NCZ MAINTAINCE SOLN. : 30 LTR CARBOYS,60,126,7560,ARTEK EXPORTS - TARAPUR,311,GUJRAT - SHIVJEE ,FINISHED GOODS,NON CYNIDE ALKALINE ZINC,NCZ OTHERS,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00412/20-21,8-Jun-20,June,2020,2,11534,SUNDRY DEBTORS - DOMESTIC,SAI ELECTROCHEM,INDIA,GUJARAT,AHMEDABAD,SAI ELECTROCHEM,9252,MILLENIUM NCZ MAKE UP SOLUTION : 30 LTR CARBOYS,150,61.5,9225,ARTEK EXPORTS - TARAPUR,311,GUJRAT - SHIVJEE ,FINISHED GOODS,NON CYNIDE ALKALINE ZINC,NCZ OTHERS,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00413/20-21,8-Jun-20,June,2020,1,5165,SUNDRY DEBTORS - DOMESTIC,PERVESH RASAYAN,INDIA,HARYANA,FARIDABAD,PERVESH RASAYAN,48063,KEMPAS BL 3100 FBD : 30 LTR CARBOYS,120,188,22560,ARTEK EXPORTS - TARAPUR,335,DELHI - AREA ,FINISHED GOODS,PASSIVATION,PASSIVATION TRIVALENT,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00419/20-21,8-Jun-20,June,2020,4,5321,SUNDRY DEBTORS - DOMESTIC,SATYAM AGENCIES,INDIA,MADHYA PRADESH,INDORE,SATYAM AGENCIES,5247,SURFOLIN U - 25 : 50 KGS BAG,200,91,18200,ARTEK EXPORTS - TARAPUR,315,INDORE ,FINISHED GOODS,CLEANERS,CLEANERS OTHERS,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00468/20-21,10-Jun-20,June,2020,1,14947,SUNDRY DEBTORS - DOMESTIC,RAKSHITH ELECTRO INDUSTRIES (KN),INDIA,TAMILNADU,KRISHNAGIRI,RAKSHITH ELECTRO INDUSTRIES (KN),4232,TEKNOBRITE AZ 2048 M : 30 LTR CARBOYS,300,131,39300,ARTEK EXPORTS - TARAPUR,298,BANGLORE - K.N. ,FINISHED GOODS,CHLORIDE ZINC PLATING,AZ ADDITIVE M,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00468/20-21,10-Jun-20,June,2020,6,14947,SUNDRY DEBTORS - DOMESTIC,RAKSHITH ELECTRO INDUSTRIES (KN),INDIA,TAMILNADU,KRISHNAGIRI,RAKSHITH ELECTRO INDUSTRIES (KN),4523,ARMOUR H.S. CHROME SALT : 5 KGS BOTTLE,10,403,4030,ARTEK EXPORTS - TARAPUR,298,BANGLORE - K.N. ,FINISHED GOODS,CHROME PLATING,CHROME SALTS,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00470/20-21,10-Jun-20,June,2020,4,22011,SUNDRY DEBTORS - DOMESTIC,GOMATHI AGENCIES,INDIA,TAMILNADU,MADURAI,GOMATHI AGENCIES,33706,TEKNOBRITE AZ 2154 M : 5 LTR BOTTLE,30,111,3330,ARTEK EXPORTS - TARAPUR,1526,MADURAI/TRICHY ,FINISHED GOODS,CHLORIDE ZINC PLATING,AZ ADDITIVE M,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00480/20-21,10-Jun-20,June,2020,6,5104,SUNDRY DEBTORS - DOMESTIC,NEHA SALES CORPORATION,INDIA,MAHARASHTRA,MUMBAI,NEHA SALES CORPORATION,38759,ALUDINE BROWN PL 2 : 5 KGS BOTTLE,10,1118,11180,ARTEK EXPORTS - TARAPUR,324,MUMBAI - NEHA ,FINISHED GOODS,ANODISING,ANODIZING DYES,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00481/20-21,10-Jun-20,June,2020,1,4948,SUNDRY DEBTORS - DOMESTIC,KING ENTERPRISES,INDIA,MAHARASHTRA,MUMBAI,KING ENTERPRISES,14761,KEMPAS TR 375 B : 5 LTR BOTTLE,30,592,17760,ARTEK EXPORTS - TARAPUR,322,MUMBAI - KING ,FINISHED GOODS,PASSIVATION,PASSIVATION TRIVALENT,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00481/20-21,10-Jun-20,June,2020,4,4948,SUNDRY DEBTORS - DOMESTIC,KING ENTERPRISES,INDIA,MAHARASHTRA,MUMBAI,KING ENTERPRISES,9166,MILLENIUM NCZ 511 C : 30 LTR CARBOYS,30,107,3210,ARTEK EXPORTS - TARAPUR,322,MUMBAI - KING ,FINISHED GOODS,NON CYNIDE ALKALINE ZINC,NCZ ADDITIVES,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00678/20-21,18-Jun-20,June,2020,1,5376,SUNDRY DEBTORS - DOMESTIC,SHREE MAHAVIR CHEMICALS (JA),INDIA,RAJASTHAN,JAIPUR,SHREE MAHAVIR CHEMICALS (JA),45212,TEKNOBRITE AZ 2048 M (..) : 30 LTRS CARBOY,90,126,11340,ARTEK EXPORTS - TARAPUR,303,DELHI - MAHAVIR ,FINISHED GOODS,CHLORIDE ZINC PLATING,AZ ADDITIVE M,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00678/20-21,18-Jun-20,June,2020,3,5376,SUNDRY DEBTORS - DOMESTIC,SHREE MAHAVIR CHEMICALS (JA),INDIA,RAJASTHAN,JAIPUR,SHREE MAHAVIR CHEMICALS (JA),9811,KEMPAS BL 1600 SPL : 30 LTR CARBOYS,60,189,11340,ARTEK EXPORTS - TARAPUR,303,DELHI - MAHAVIR ,FINISHED GOODS,PASSIVATION,PASSIVATION TRIVALENT,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00687/20-21,20-Jun-20,June,2020,5,22709,SUNDRY DEBTORS - DOMESTIC,BHOLA TRADING,INDIA,DELHI,DELHI,BHOLA TRADING,9787,KEMPAS BL 1600  SPL : 5 LTR BOTTLE,300,195,58500,ARTEK EXPORTS - TARAPUR,1606,DELHI - BHOLA ,FINISHED GOODS,PASSIVATION,PASSIVATION TRIVALENT,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00688/20-21,20-Jun-20,June,2020,2,22709,SUNDRY DEBTORS - DOMESTIC,BHOLA TRADING,INDIA,DELHI,DELHI,BHOLA TRADING,28062,KEMPAS EBL : 50 KGS DRUM,400,171,68400,ARTEK EXPORTS - TARAPUR,1606,DELHI - BHOLA ,FINISHED GOODS,PASSIVATION,PASSIVATION HEXAVALENT,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00688/20-21,20-Jun-20,June,2020,4,22709,SUNDRY DEBTORS - DOMESTIC,BHOLA TRADING,INDIA,DELHI,DELHI,BHOLA TRADING,14642,KEMPAS OLIVE COMPOSITE 863 : 5 LTR BOTTLE,60,210,12600,ARTEK EXPORTS - TARAPUR,1606,DELHI - BHOLA ,FINISHED GOODS,PASSIVATION,PASSIVATION HEXAVALENT,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00689/20-21,20-Jun-20,June,2020,2,22709,SUNDRY DEBTORS - DOMESTIC,BHOLA TRADING,INDIA,DELHI,DELHI,BHOLA TRADING,46076,MILLENIUM NCZ SUPER 511 B : 30 LTR CARBOYS,150,86,12900,ARTEK EXPORTS - TARAPUR,1606,DELHI - BHOLA ,FINISHED GOODS,NON CYNIDE ALKALINE ZINC,NCZ ADDITIVES,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00693/20-21,20-Jun-20,June,2020,1,5165,SUNDRY DEBTORS - DOMESTIC,PERVESH RASAYAN,INDIA,HARYANA,FARIDABAD,PERVESH RASAYAN,50272,KEMPAS BZ 625 K FBD : 5 KGS BOTTLE,30,675,20250,ARTEK EXPORTS - TARAPUR,335,DELHI - AREA ,FINISHED GOODS,PASSIVATION,PASSIVATION TRIVALENT,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00680/20-21,20-Jun-20,June,2020,2,22709,SUNDRY DEBTORS - DOMESTIC,BHOLA TRADING,INDIA,DELHI,DELHI,BHOLA TRADING,45098,SURFOLIN SK 40 (SC) : 30 KGS BAG,3000,70,210000,ARTEK EXPORTS - TARAPUR,1606,DELHI - BHOLA ,FINISHED GOODS,CLEANERS,CLEANERS SOAK,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00684/20-21,20-Jun-20,June,2020,4,22709,SUNDRY DEBTORS - DOMESTIC,BHOLA TRADING,INDIA,DELHI,DELHI,BHOLA TRADING,4129,TEKNOBRITE AZ 1098 M : 30 LTR CARBOYS,60,169,10140,ARTEK EXPORTS - TARAPUR,1606,DELHI - BHOLA ,FINISHED GOODS,CHLORIDE ZINC PLATING,AZ ADDITIVE M,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00686/20-21,20-Jun-20,June,2020,3,22709,SUNDRY DEBTORS - DOMESTIC,BHOLA TRADING,INDIA,DELHI,DELHI,BHOLA TRADING,3068,ALUMAX ELECTROCOLOUR EC 400 : 5 LTR BOTTLE,120,452,54240,ARTEK EXPORTS - TARAPUR,1606,DELHI - BHOLA ,FINISHED GOODS,ANODISING,ANODIZING OTHERS,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00686/20-21,20-Jun-20,June,2020,5,22709,SUNDRY DEBTORS - DOMESTIC,BHOLA TRADING,INDIA,DELHI,DELHI,BHOLA TRADING,23611,ARMOUR HS MBT (M) SALT : 5 KGS BOTTLE,30,292,8760,ARTEK EXPORTS - TARAPUR,1606,DELHI - BHOLA ,FINISHED GOODS,CHROME PLATING,CHROME SALTS,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00689/20-21,20-Jun-20,June,2020,4,22709,SUNDRY DEBTORS - DOMESTIC,BHOLA TRADING,INDIA,DELHI,DELHI,BHOLA TRADING,46078,MILLENIUM NCZ SUPER 511 CONDITIONER:35 KGS CARBOYS,420,43,18060,ARTEK EXPORTS - TARAPUR,1606,DELHI - BHOLA ,FINISHED GOODS,NON CYNIDE ALKALINE ZINC,NCZ ADDITIVES,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,NORMAL SALE,AET/00690/20-21,20-Jun-20,June,2020,1,22709,SUNDRY DEBTORS - DOMESTIC,BHOLA TRADING,INDIA,DELHI,DELHI,BHOLA TRADING,28106,TEKNOBRITE AZ 1268 R : 30 LTR CARBOYS,90,65.15,5863.5,ARTEK EXPORTS - TARAPUR,1606,DELHI - BHOLA ,FINISHED GOODS,CHLORIDE ZINC PLATING,AZ BRIGHTNERS R,39
